RecordKey	RecordDate	InvoiceID	Quantity	UnitPrice	TaxRate	TaxAmount	LineProfit	ExtendedPrice	TotalDryItems	TotalChillerItems	Package	Description	ValidFrom	ValidTo
10000:USB food flash drive - dessert 10 drive variety pack	10 July 2013	10000	9	240	15	324	1363.5	2484	2	0	Packet	USB food flash drive - dessert 10 drive variety pack		###############################################################################################################################################################################################################################################################
10000:USB food flash drive - donut	10 July 2013	10000	10	32	15	48	200	368	2	0	Each	USB food flash drive - donut		###############################################################################################################################################################################################################################################################
10001:Black and yellow heavy despatch tape 48mmx100m	10/07/2013 00:00	10001	168	4.1	15	103.32	285.6	792.12	168	0	Each	Black and yellow heavy despatch tape 48mmx100m		
10001:Express post box 5kg (White) 350x280x130mm	10/07/2013 00:00	10001	100	0.95	15	14.25	50	109.25	100	0	Each	Express post box 5kg (White) 350x280x130mm		
10001:RC vintage American toy coupe with remote control (Black) 1/50 scale	10/07/2013 00:00	10001	7	30	15	31.5	105	241.5	7	0	Each	RC vintage American toy coupe with remote control (Black) 1/50 scale		
10001:Shipping carton (Brown) 500x310x310mm	10/07/2013 00:00	10001	25	2.55	15	9.56	36.25	73.31	25	0	Each	Shipping carton (Brown) 500x310x310mm		
10002:Black and orange fragile despatch tape 48mmx100m	10/07/2013 00:00	10002	288	4.1	15	177.12	518.4	1357.92	288	0	Each	Black and orange fragile despatch tape 48mmx100m		
10002:Permanent marker black 5mm nib (Black) 5mm	10/07/2013 00:00	10002	36	2.7	15	14.58	36	111.78	36	0	Each	Permanent marker black 5mm nib (Black) 5mm		
10002:Permanent marker red 5mm nib (Red) 5mm	10/07/2013 00:00	10002	120	2.7	15	48.6	120	372.6	120	0	Each	Permanent marker red 5mm nib (Red) 5mm		
"10003:""The Gu"" red shirt XML tag t-shirt (White) 3XL"	10/07/2013 00:00	10003	60	18	15	162	600	1242	60	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) 3XL"		
10003:Shipping carton (Brown) 279x254x217mm	10/07/2013 00:00	10003	25	1.11	15	4.16	12.75	31.91	25	0	Each	Shipping carton (Brown) 279x254x217mm		
10003:Small sized bubblewrap roll 10m	10/07/2013 00:00	10003	10	4.5	15	6.75	23	51.75	10	0	Each	Small sized bubblewrap roll 10m		
10004:Developer joke mug - understanding recursion requires understanding recursion (Black)	10/07/2013 00:00	10004	4	13	15	7.8	34	59.8	4	0	Each	Developer joke cup - understanding recursion requires understanding recursion (Black)		
10004:Packing knife with metal insert blade (Yellow) 9mm	10/07/2013 00:00	10004	45	1.89	15	12.76	44.55	97.81	45	0	Each	Packing knife with metal insert blade (Yellow) 9mm		
10004:Superhero action jacket (Blue) L	10/07/2013 00:00	10004	9	30	15	40.5	72	310.5	9	0	Each	Superhero action jacket (Blue) L		
10005:Bubblewrap dispenser (Blue) 1.5m	10/07/2013 00:00	10005	8	240	15	288	1040	2208	8	0	Each	Bubblewrap dispenser (Blue) 1.5m		
10005:Developer joke mug - that's a hardware problem (White)	10/07/2013 00:00	10005	6	13	15	11.7	51	89.7	6	0	Each	Developer joke cup - that's a hardware problem (White)		
10005:Developer joke mug - this code was generated by a tool (Black)	10/07/2013 00:00	10005	2	13	15	3.9	17	29.9	2	0	Each	Developer joke cup - this code was generated by a tool (Black)		
10005:Dinosaur battery-powered slippers (Green) M	10/07/2013 00:00	10005	3	32	15	14.4	72	110.4	3	0	Each	Dinosaur battery-powered slippers (Green) M		
10005:IT joke mug - hardware: part of the computer that can be kicked (Black)	10/07/2013 00:00	10005	10	13	15	19.5	85	149.5	10	0	Each	IT joke cup - hardware: part of the computer that can be kicked (Black)		
10006:Black and orange this way up despatch tape  48mmx100m	10/07/2013 00:00	10006	240	4.1	15	147.6	516	1131.6	240	0	Each	Black and orange this way up despatch tape  48mmx100m		
10006:Black and yellow heavy despatch tape  48mmx75m	10/07/2013 00:00	10006	144	3.7	15	79.92	316.8	612.72	144	0	Each	Black and yellow heavy despatch tape  48mmx75m		
10006:DBA joke mug - it depends (Black)	10/07/2013 00:00	10006	9	13	15	17.55	76.5	134.55	9	0	Each	DBA joke cup - it depends (Black)		
10007:Developer joke mug - old C developers never die (White)	10/07/2013 00:00	10007	4	13	15	7.8	34	59.8	4	0	Each	Developer joke cup - old C developers never die (White)		
10007:Halloween zombie mask (Light Brown) L	10/07/2013 00:00	10007	48	18	15	129.6	-48	993.6	48	0	Each	Halloween zombie mask (Light Brown) L		
10007:Ogre battery-powered slippers (Green) XL	10/07/2013 00:00	10007	7	32	15	33.6	164.5	257.6	7	0	Each	Ogre battery-powered slippers (Green) XL		
10008:DBA joke mug - daaaaaa-ta (White)	10/07/2013 00:00	10008	9	13	15	17.55	76.5	134.55	9	0	Each	DBA joke cup - daaaaaa-ta (White)		
10008:Halloween skull mask (Gray) XL	10/07/2013 00:00	10008	84	18	15	226.8	252	1738.8	84	0	Each	Halloween skull mask (Gray) XL		
10008:RC big wheel monster truck with remote control (Black) 1/50 scale	10/07/2013 00:00	10008	1	45	15	6.75	29.5	51.75	1	0	Each	RC big wheel monster truck with remote control (Black) 1/50 scale		
10008:USB food flash drive - chocolate bar	10/07/2013 00:00	10008	6	32	15	28.8	120	220.8	6	0	Each	USB food flash drive - chocolate bar		
10008:USB food flash drive - cookie	10/07/2013 00:00	10008	5	32	15	24	100	184	5	0	Each	USB food flash drive - cookie		
"10009:""The Gu"" red shirt XML tag t-shirt (Black) L"	10/07/2013 00:00	10009	72	18	15	194.4	792	1490.4	72	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) L"		
10009:Dinosaur battery-powered slippers (Green) L	10/07/2013 00:00	10009	4	32	15	19.2	96	147.2	4	0	Each	Dinosaur battery-powered slippers (Green) L		
